Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Apostolepis,dimidiata,185–730,15,S,214–264,D,17–49,2,5.1–12.3,30–800,0,1–2
Apostolepis,dorbignyi,271–449,15,S,208–264,D,37–42,2,8.1–12.9,600–1135,0,–
Apostolepis,flavotorquata,218–940,15,S,229–269,D,20–43,2,5.3–11.1,30–635,0,–
Apostolepis,gaboi,229–533,15,S,211–239,D,23–37,2,6.6–9.7,400,0,1–9
Apostolepis,goiasensis,300–443,15,S,214–247,D,25–38,2,7.3–10.2,370–790,0,–
Apostolepis,intermedia,118–351,15,S,211–242,D,28–37,2,9.1–11.8,130–205,0,–
Apostolepis,kikoi,168–348,15,S,203–209,D,26–30,2,9.0–11.7,175–810,0,–
Apostolepis,longicaudata,186–367,15,S,221–257,D,39–56,2,14.2–17.5,0–515,0,2
Apostolepis,mariae,289–689,15,S,200–255,D,23–38,2,7.7–10.7,600,0,–
Apostolepis,multicincta,209–390,15,S,212–233,D,31–43,2,9.9–15.0,700–2035,0,–
Apostolepis,nelsonjorgei,216–335,15,S,214–262,D,37–57,2,11.2–16.1,165–560,0,–
Apostolepis,niceforoi,365–615,15,S,244–248,D,19–23,2,5.7–9.5,75–90,0,–
Apostolepis,nigrolineata,151–850,15,S,196–264,D,22–53,2,7.3–12.5,0–165,0,–
Apostolepis,nigroterminata,206–480,15,S,200–242,D,23–33,2,6.4–9.3,150–760,0,–
Apostolepis,phillipsae,349–432,15,S,210–229,D,24–31,2,7.2–9.5,0–230,0,–
Apostolepis,polylepis,224–620,17,S,214–246,D,20–27,2,5.3–8.0,190–515,0,–
Apostolepis,pymi,190–747+,15,S,200–257,D,21–53,2,6.2–15.9,0–750,0,–
Apostolepis,quinquelineata,160–443,15,S,204–236,D,23–42,2,6.5–18.2,25,0,1–8
Apostolepis,quirogai,228–432,15,S,214–276,D,24–29,2,6.6–11.3,110–440,0,–
Apostolepis,rondoni,279–479,15,S,221–250,D,22–28,2,6.7–9.4,70,0,–
Apostolepis,sanctaeritae,208–759,15,S,214–253,D,24–39,2,7.8–11.7,230–860,0,3
Apostolepis,serrana,337,15,S,234,D,33,2,9.2,455,0,–
Apostolepis,striata,261–337,15,S,202–203,D,26–27,2,9.2–10.0,330–520,0,–
Apostolepis,tenuis,168–342,15,S,245–265,D,37–46,2,7.7–11.7,120–760,0,–
Apostolepis,thalesdelemai,300–734,15,S,212–255,D,23–38,2,8.3–12.0,600–960,0,–
Apostolepis,underwoodi,197–382,15,S,205–212,D,27–31,2,8.4–16.2,400–415,0,–
Apostolepis,vittata,238–460,15,S,227–243,D,23–29,2,6.3–9.4,175–775,0,–
Aprosdoketophis,andreonei,392,19,S,146,D,46,2,17.2,500,0,19
Arcanumophis,problematicus,210–275,17,S,133–137,D,36–39,2,18.5–19.0,1520,0,–
Archelaphe,bella,298–1116,19,S,201–232,D,40–70,2,12.6–20.6,900–3000,0,5–12
Argyrophis,bothriorhynchus,180–279,22–24,S,283–330,U,9–11,U,2.3–3.0,5–1530,0,–
Argyrophis,diardii,85–430,24–28,S,260–348,U,7–12,U,1.1–3.4,45–1525,0,3–14
Argyrophis,fuscus,210,24,S,364,U,9,U,2.0,5–255,0,–
Argyrophis,giadinhensis,237–238,22,S,319–340,U,7–10,U,2.1–2.3,5,0,–
Argyrophis,hypsobothrius,285,20,S,–,U,–,U,–,–,0,–
Argyrophis,klemmeri,143–151,23–24,S,291–292,U,11,U,1.7–2.1,75,0,–
Argyrophis,koshunensis,273–290,20–23,S,246,U,26,U,1.0–2.4,10–1000,0,–
Argyrophis,muelleri,118–540,24–30,S,298–439,U,6–13,U,1.0–3.6,20–1675,0,5–14
Argyrophis,oatesii,75–203,24–25,S,–,U,–,U,1.0,30–200,0,–
Argyrophis,roxaneae,231,20,S,329,U,5,U,1.3,10,0,14
Argyrophis,siamensis,120–305,20–22,S,292–368,U,5–13,U,1.3–3.5,105–1300,0,–
Argyrophis,trangensis,155–257,24,S,324–370,U,8–12,U,1.8–2.3,60,0,–
Arizona,elegans,170–1778,25–35,S,183–241,E,39–63,2,10.0–17.8,–70 to 2200,0,2–24
Arizona,pacata,220–1100,27,S,199–245,E,41–50,2,11.0 –11.9,0–1700,0,–
Arrhyton,ainictum,539,17,S,137,D,108,2,32.7,20–185,0,–
Arrhyton,albicollum,234,17,S,145,D,132,2,38.6,30,0,–
Arrhyton,dolichura,410–482,17,S,119–132,D,101–127,2,41.5–43.2,40–490,0,–
Arrhyton,procerum,478,17,S,142–145,D,137–140+,2,44.1,15,0,–
Arrhyton,redimitum,196–408,17,S,115–150,D,69–125,2,22.4–38.7,15–380,0,–
Arrhyton,supernum,426,17,S,124–128,D,107–108,2,40.1,45–750,0,–
Arrhyton,taeniatum,465–607,17,S,168–189,D,73–105,2,24.7–25.3,0–800,0,–
Arrhyton,tanyplectum,350–557,17,S,138–149,D,121–136,2,39.8–44.0,0–200,0,–
Arrhyton,vittatum,244–298,17,S,107–123,D,52–81,2,29.6–35.2,45–200,0,–
Aspidelaps,lubricus,150–850,19–21,S,139–179,E,17–38,2,8.6–13.7,20–1800,0,3–14
Aspidelaps,scutatus,157–740,21–23,S,108–125,E,21–33,2,11.8–20.0,45–1670,0,3–14
Aspidites,melanocephalus,400–3023,50–65,S,315–359,E,60–75,1,10.0–27.9,10–760,0,1–20
Aspidites,ramsayi,340–2700,43–65,S,273–315,E,40–55,1,7.1–17.4,10–650,0,3–28
Aspidomorphus,lineaticollis,166–400,15,S,139–174,D,24–41,2,10.1–12.7,10–400,0,2–4
Aspidomorphus,lineatus,460–528,15,S,149–168,D,29–38,2,13.3–14.0,0–240,0,–
Aspidomorphus,muelleri,360–662,15,S,160–182,D,19–41,2,7.7–14.3,0–1500,0,3–5
Aspidomorphus,schlegelii,387–425,15,S,137–161,D,19–30,2,9.0–12.3,90–920,0,2–3
Aspidura,brachyorrhos,217–410,17,S,134–159,E,25–39,3,11.4–15.1,350–1220,0,2–6
Aspidura,ceylonensis,370–500,17,Sa,162–217,E,37–56,1,13.6–15.5,75–2140,0,2–5
Aspidura,copei,325–736,17,Sa,123–145,E,15–35,3,8.6–13.7,30–2130,0,21
Aspidura,deraniyagalae,200–300,17,Sa,117–122,E,13–26,3,6.7–11.3,1000–1520,0,2–4
Aspidura,desilvai,107–224,15,Sa,124–139,E,16–29,3,7.1–13.1,995–1700,0,–
Aspidura,drummondhayi,200–220,15,Sa,112–135,E,17–26,3,10.0–15.5,400–1565,0,4
Aspidura,guentheri,60–350,17,Sa,100–127,E,18–29,3,12.9–14.0,0–1565,0,1–2
Aspidura,ravanai,253–453,15,Sa,132–139,E,20–29,3,8.6–13.8,1650–2000,0,–
Aspidura,trachyprocta,93–540,15,Sa,125–151,E,12–26,3,8.6–9.5,400–2100,0,4–12
Asthenodipsas,borneensis,466–506,15,S,166–179,E,35–48,2,11.8–16.6,75–1075,0,–
Asthenodipsas,ingeri,400–818,15,S,185–201,E,53–78,2,12.6–16.7,1000–2000,0,–
Asthenodipsas,jamilinaisi,142–456,15,S,173–175,E,52–53,2,16.2–17.1,1280–2610,0,–
Asthenodipsas,laevis,172–650,15,S,148–178,E,34–69,2,11.9–21.8,350–1625,0,–
Asthenodipsas,malaccana,218–700,15,S,152–181,E,25–58,2,8.2–20.0,245–1000,0,3–6
Asthenodipsas,stuebingi,449–639,15,S,165–175,E,35–47,2,10.0–16.4,900–2000,0,–
Asthenodipsas,tropidonotus,346–693,15,S,194–204,E,73–76,2,15.5–21.4,400–775,0,–
Asthenodipsas,vertebralis,233–771,14–15,S,167–215,E,56–78,2,13.7–22.2,800–2020,0,2–6
Astrotia,stokesii,203–2000,37–66,kt,222–291,D(E),33–57,1,9.4–15.8,–70 to 0,1,1–20
Atheris,acuminata,440,14,K,160,V,54,1,18.4,950,1,–
Atheris,anisolepis,250–650,19–25,K,150–170,V,45–59,1,14.9–16.5,0–800,1,–
Atheris,broadleyi,300–768,17–23,K,157–169,V,45–61,1,15.0–22.0,330–1400,1,–
Atheris,ceratophora,120–550,19–27,K,134–152,V,37–58,1,16.7–18.4,700–2000,1,4–8
Atheris,chlorechis,131–700,25–37,K,151–165,V,48–64,1,13.5–19.0,0–600,1,6–9
Atheris,desaixi,175–682,21–31,K,160–174,V,41–54,1,12.5–18.0,1000–1800,1,13–15
Atheris,hetfieldi,250–570,23–25,K,153,V,47–50,1,14.3–19.3,1295–1370,1,–
Atheris,hirsuta,480–491,15–16,K,159–164,V,58–60,1,19.6–19.8,100–585,1,–
Atheris,hispida,150–735,15–19,K,149–166,V,49–64,1,17.3–21.0,725–2400,1,2–12
Atheris,katangensis,357–397,23–31,K,133–144,V,38–49,1,14.8–15.6,1250–1480,1,–
Atheris,mabuensis,179–384,22–26,K,128–137,V,39–47,1,14.0–16.9,1000–1550,1,–
Atheris,matildae,391–800,26–27,K,142–150,V,44–50,1,14.6–17.6,740–2000,1,–
Atheris,mongoensis,250–475,19–21,K,141–152,V,43–55,1,12.7–16.9,315,1,–
Atheris,nitschei,150–770,23–34,K,140–163,V,35–59,1,10.5–21.3,765–3000,1,4–23
Atheris,rungweensis,150–642,22–33,K,150–165,V,46–58,1,14.0–17.1,800–2000,1,5–23
Atheris,squamigera,134–799,15–25,K,133–175,V,40–67,1,12.1–31.3,0–1900,1,1–12
Atheris,subocularis,491–650,14–16,K,152–163,V,58–65,1,19.0–20.0,240–400,1,5
Atractaspis,andersonii,305–950,23–25,S,216–254,E,23–40,1,7.0–8.7,10–1460,0,6
Atractaspis,aterrima,200–810,19–23,S,239–300,E,17–26,1,3.0–6.1,0–2000,0,–
Atractaspis,battersbyi,525–825,19–23,S,341–350,D,22–23,2,4.1–4.8,315,0,–
Atractaspis,bibronii,130–696,19–25,S,213–267,E,16–28,1,4.5–7.9,25–1800,0,3–15
Atractaspis,boulengeri,232–650,19–25,S,192–218,E,22–27,2(1),7.1–8.7,25–1465,0,3
Atractaspis,branchi,284–735,19–20,S,276–293,D,19–25,2,4.4–6.0,300–520,0,–
Atractaspis,congica,250–630,17–23,S,190–237,D,17–25,2(1),5.0–8.9,10–1600,0,3–6
Atractaspis,corpulenta,279–680,23–29,S,178–191,E,22–28,1(2),6.8–9.7,10–1520,0,–
Atractaspis,dahomeyensis,221–560,29–35,S,210–251,E,22–30,3,4.2–8.5,20–1400,0,–
Atractaspis,duerdeni,250–549,19–25,S,193–225,E,19–27,1,4.1–8.6,1080–1470,0,–
Atractaspis,engaddensis,285–845,23–29,S,263–285,E,21–40,1,6.7–10.5,–310 to 2135,0,1–5
Atractaspis,engdahli,150–450,19–25,S,219–232,D,19–23,2,4.8–6.8,0–1800,0,–
Atractaspis,fallax,434–1300,27–37,S,227–257,E,20–39,1,7.0–9.4,0–1800,0,8
Atractaspis,irregularis,202–660,21–27,S,213–263,D,20–32,2,4.1–8.4,0–1955,0,2–12
Atractaspis,katangae,220–646,23–25,S,224–260,E,16–26,1,4.6–6.5,1120–1200,0,–
Atractaspis,kivuensis,600–628,25–27,S,191–209,E,22–26,1,7.5–8.1,400–790,0,–
Atractaspis,leucomelas,242–575,23,S,230–243,E,27–29,1,3.8–7.0,285–780,0,–
Atractaspis,magrettii,280–750,25–29,S,228–248,E,31–33,1,7.9–8.9,400–2400,0,–
Atractaspis,microlepidota,235–811,24–33,S,198–230,E,21–31,1(2),5.8–8.5,0–200,0,–
Atractaspis,micropholis,271–913,25–33,S,211–237,E,26–33,1(2),7.3–9.5,45–1521,0,3
Atractaspis,phillipsi,290–887,29–33,S,222–258,E,23–33,1,6.8–7.6,430–600,0,–
Atractaspis,reticulata,286–1280,19–23,S,304–370,D,18–28,2,3.6–5.8,0–1400,0,–
Atractaspis,scorteccii,752–840,23–25,S,215–230,E,30–34,1,8.3–8.6,600–1500,0,–
Atractaspis,watsoni,300–716,27–31,S,213–242,E,21–33,1(2),7.3–7.9,0–800,0,–
Atractus,aboiporu,289–298,15,S,133–135,E,15–16,2,7.7–10.0,160,0,–
Atractus,acheronius,588,17,S,166,E,23,2,8.8,2200–2400,0,–
Atractus,akerios,333–394,17,S,140–156,E,20–33,2,8.6–14.1,20–110,0,–
Atractus,albuquerquei,183–772,15,S,170–211,E,27–44,2,9.3–13.8,35–1110,0,–
Atractus,alphonsehogei,244–306,17,S,150–176,E,17–26,2,7.2–11.7,10–195,0,–
Atractus,altagratiae,275,17,S,139,E,27,2,12.7,45,0,–
Atractus,alytogrammus,285–297,17,S,186–187,E,29–39,2,11.8–14.0,150–425,0,–
Atractus,andinus,287,17,S,174,E,37–38,2,12.9,1535–1835,0,–
Atractus,apophis,433,17,S,167,E,34,2,12.5,1500–1640,0,–
Atractus,arangoi,300–462,17,S,159,E,25,2,10.8–13.2,210–840,0,3–4
Atractus,atlas,700+–926+,17,S,158–169,E,28–33,2,9.3–13.0,800–2100,0,–
Atractus,atratus,366–552,17,S,140–153,E,22–29,2,9.1–13.4,1710–2000,0,–
Atractus,attenuatus,420,17,S,178,E,48,2,15.7–15.7,1000,0,–
Atractus,avernus,177,15,S,135,E,10,2,5.1,480,0,–
Atractus,ayeush,218,17,S,155,E,23,2,8.7,1050–1250,0,–
Atractus,badius,140–600,15,S,138–165,E,33–47,2,8.5–19.1,10–300,0,3–5
Atractus,balzani,400–405,17,S,164,E,32,2,12.5–12.6,515,0,–
Atractus,biseriatus,237,15,S,148–152,E,18–30,2,8.0,1950–2150,0,–
Atractus,bocki,317–447,17,S,161–169,E,39–51,2,13.9–18.1,350–2575,0,–
Atractus,bocourti,355–390,17,S,157–191,E,25–39,2,10.3–12.1,90–3130,0,–
Atractus,boettgeri,263–350,15,S,175–177,E,20–43,2,6.3–7.2,195–490,0,–
Atractus,boimirim,306–428,15,S,143–162,E,18–28,2,8.9–11.8,30–150,0,–
Atractus,boulengerii,362–369,17,S,176–189,E,41–44,2,14.4–14.4,100–300,0,–
Atractus,caete,408,17,S,160,E,19,2,7.8,300–500,0,–
Atractus,careolepis,207,17,S,146,E,31–32,2,14.0,15,0,–
Atractus,carrioni,339–555,15,S,136–161,E,18–34,2,9.9–17.2,1110–2545,0,3–5
Atractus,caxiuana,249–289,17,S,162–171,E,24–30,2,8.1–11.6,0,0,–
Atractus,cerberus,234–345,17,S,152–157,E,25–26,2,9.8–10.5,280–2015,0,–
Atractus,charitoae,155,17,S,150,E,26–37,2,12.9,120–200,0,–
Atractus,chthonius,328–506,17,S,137–148,E,17–25,2,9.5–10.1,1500–2500,0,–
Atractus,clarki,351–396,17,S,185,E,33,2,10.6–14.5,100–1500,0,–
Atractus,collaris,175–325,17,S,145–186,E,18–33,2,6.7–13.1,100–700,0,–
Atractus,crassicaudatus,228–495,17,S,139–170,E,14–33,2,5.6–17.0,1200–3700,0,–
Atractus,dapsilis,303–540,17,S,152–182,E,21–37,2,7.4–13.3,30–210,0,–
Atractus,darienensis,346,17,S,159,E,25,2,9.5,300–500,0,–
Atractus,dativus,274–303,17,S,162–165,E,24–28,2,9.9–12.5,3840,0,
Atractus,depressiocellus,276–750,17,S,160–167,E,30,2,10.3–12.3,200–980,0,–
Atractus,discovery,312–352,17,S,168–172,E,17–27,2,5.8–8.9,200–2055,0,–
Atractus,duboisi,120–489,15,S,150–172,E,13–26,2,7.0–15.1,1500–2200,0,–
Atractus,duidensis,343–470,17,S,156–173,E,35–36,2,10.8–12.1,2050–2360,0,–
Atractus,dunni,250–357,17–23,S,125–150,E,19–39,2,9.3–10.0,300–2380,0,2–4
Atractus,echidna,248,15,S,127,E,36,2,19.0,10,0,–
Atractus,ecuadorensis,246,17,S,144,E,41,2,19.5,1505,0,–
Atractus,edioi,390,15,S,163,E,24,2,9.9,300,0,–
Atractus,elaps,169–626,15,S,135–173,E,16–50,2,6.0–15.8,50–1640,0,6
Atractus,emigdioi,140–415,17,S,146–169,E,17–25,2,7.7–10.0,2000–2600,0,–
Atractus,emmeli,282–413,15–17,S,141–189,E,14–40,2,5.2–14.4,135–2400,0,–
Atractus,erythromelas,270–598,15–17,S,157–181,E,21–35,2,5.0–15.0,1000–3000,0,11
Atractus,esepe,266–285,17,S,149–156,E,30–41,2,12.8–18.0,100,0,–
Atractus,favae,366–538,17,S,167–180,E,57–67,2,17.5–26.2,0–60,0,–
Atractus,flammigerus,95–551,17,S,138–156,E,19–36,2,8.6–18.9,0–1400,0,3–5
Atractus,franciscopaivai,406,15,S,140,E,20,2,8.9,100–300,0,–
Atractus,francoi,473–515,17,S,156–164,E,14–30,2,7.8–11.2,600–1000,0,6
Atractus,fuliginosus,250–400,17,S,149–175,E,27–38,2,8.8–12.9,1200–2000,0,2–3
Atractus,gaigeae,277–338,17,S,184–214,E,23–40,2,6.8–16.3,200–970,0,–
Atractus,gigas,154–1210,17,S,159–177,E,25–46,2,9.1–11.9,600–2305,0,11–12
Atractus,guentheri,280–479,17,S,136–161,E,18–33,2,8.5–14.9,0–300,0,–
Atractus,heliobelluomini,158–461,15,S,121,E,8,2,7.6,115–300,0,–
Atractus,heyeri,497,17,S,166,E,29,2,10.3,1510,0,–
Atractus,hoogmoedi,194–248,17,S,170–180,E,27–40,2,9.7–14.9,50,0,–
Atractus,hostilitractus,374,17,S,160,E,27,2,10.7,100–200,0,–
Atractus,imperfectus,45+,17,S,–,E,–,2,–,690–800,0,–
Atractus,indistinctus,267–418,17,S,156–172,E,29–45,2,9.0–16.2,900–2000,0,–
Atractus,insipidus,234–480,15,S,154–164,E,18–36,2,8.1–12.0,400–950,0,–
Atractus,iridescens,113–445,17,S,127–150,E,25–42,2,9.7–18.3,50–595,0,–
Atractus,lancinii,230–345,17,S,153–182,E,23–40,2,9.9–13.9,500–1300,0,–
Atractus,lasallei,407–613,17,S,161–167,E,22–24,2,9.8–10.1,1500–2750,0,–
Atractus,latifrons,170–618,17,S,134–190,E,20–42,2,9.2–17.3,90–500,0,2–6
Atractus,lehmanni,295–364,15–17,S,139–155,E,20–29,2,9.1–11.2,1620–2785,0,–
Atractus,loveridgei,140–508,17,S,149–174,E,14–30,2,5.3–12.3,1050–3005,0,2
Atractus,macondo,383,17,S,151,E,29,2,12.8,0–10,0,–
Atractus,maculatus,152–415,17,S,146–165,E,19–30,2,7.5–13.5,0–650,0,–
Atractus,major,200–986,15–17,S,144–185,E,24–53,2,9.4–18.8,100–2630,0,3–12
Atractus,manizalesensis,253–370,15,S,139–154,E,14–25,2,8.4–13.4,1500–2160,0,–
Atractus,mariselae,169–403,17,S,157–171,E,31–39,2,8.9–13.8,1000–1300,0,–
Atractus,marthae,110–375,17,S,153–174,E,20–30,2,6.9–10.2,1990–2400,0,–
Atractus,matthewi,170–408,17,S,157–168,E,23–28,2,8.4–8.8,1000–2250,0,–
Atractus,medusa,385,17,S,133–146,E,33–46,2,15.6,0–550,0,–
Atractus,melanogaster,283–510,17,S,151–174,E,16–28,2,6.9–11.0,1800–2420,0,–
Atractus,melas,218–240,17,S,134–157,E,25–34,2,10.4–15.6,80–2600,0,–
Atractus,michaelsabini,222–429,15,S,143–153,E,17–31,2,8.6–12.0,920–2930,0,3–4
Atractus,microrhynchus,203–435,17,S,133–163,E,24–40,2,15.3–16.4,50–1545,0,2
Atractus,modestus,379–380,17,S,155–185,E,26–41,2,13.2–13.5,1020–2560,0,–
Atractus,muisca,507–518,17,S,150–181,E,19–32,2,7.3–13.2,1700–2700,0,
Atractus,multicinctus,300–354,17,S,153–195,E,31–43,2,9.9–17.0,20–2100,0,–
Atractus,multidentatus,172,17,S,153,E,9,2,7.0,2000,0,–
Atractus,nasutus,199,17,S,130,E,23,2,11.6,2000–2600,0,–
Atractus,natans,288–426,17,S,136–163,E,18–31,2,9.6–13.2,0–100,0,–
Atractus,nawa,420–433,17,S,166–169,E,16–20,2,7.1–7.7,200–210,0,–
Atractus,nicefori,155–420,15,S,141–155,E,19–34,2,8.4–8.9,1570–2600,0,–
Atractus,nigricaudus,145–367,17,S,142–161,E,16–32,2,6.9–8.7,1800–3365,0,–
Atractus,nigriventris,180–638,17,S,155–176,E,23–33,2,8.0–14.1,1000–3060,0,–
Atractus,obesus,758–762,17,S,152–183,E,26–35,2,10.0–12.0,1300–2800,0,–
Atractus,obtusirostris,235–540,17,S,145–177,E,27–42,2,6.9–15.6,225–2200,0,–
Atractus,occidentalis,123–350,17,S,128–162,E,20–39,2,10.0–17.4,800–1985,0,–
Atractus,occipitoalbus,205–262,15,S,129–172,E,9–32,2,4.3–11.7,200–1280,0,3
Atractus,oculotemporalis,205–460,15,S,142–152,E,23–31,2,9.1–11.7,1850–2000,0,–
Atractus,orcesi,275–338,15,S,134–158,E,13–34,2,13.1–13.5,410–3000,0,–
Atractus,pachacamac,457–695,17,S,158–175,E,31–45,2,15.8–15.9,210–1720,0,–
Atractus,paisa,377–444,15,S,153–181,E,19–31,2,7.7–13.1,2100–2630,0,–
Atractus,pamplonensis,191–438,17,S,145–197,E,19–34,2,7.5–11.3,1200–2600,0,–
Atractus,pantostictus,119–444,17,S,142–176,E,19–34,2,6.0–16.0,200–1200,0,2–4
Atractus,paraguayensis,149–555,15,S,136–167,E,19–33,2,8.0–12.6,30–1000,0,3–8
Atractus,paucidens,253–476,17,S,168–190,E,31–45,2,15.7–19.4,200–600,0,2
Atractus,pauciscutatus,330,17,S,146,E,18,2,8.2,70–3200,0,–
Atractus,paulus,198–913,17,S,166–167,E,26,2,9.1–13.6,1640–2160,0,12
Atractus,pearti,320–721,17,S,156–179,E,25–30,2,8.6–11.6,800–2500,0,
Atractus,peruvianus,280,17,S,140,E,31,2,14.3,–,0,–
Atractus,poeppigi,392–503,15,S,138–172,E,18–29,2,7.4–12.1,50–650,0,–
Atractus,potschi,340–408,17,S,140–166,E,19–32,2,9.3–12.8,40–1200,0,–
Atractus,punctiventris,311–473,15,S,155–183,E,27–36,2,12.3–13.5,400–600,0,–
Atractus,pyroni,477,15,S,143,E,16,2,7.1,2025,0,–
Atractus,resplendens,131–399,17,S,157–185,E,14–31,2,6.1–11.1,1100–2200,0,3–8
Atractus,reticulatus,82–399,15,S,130–166,E,19–34,2,6.1–14.7,65–1400,0,1–8
Atractus,riveroi,180–485,17,S,152–161,E,34–41,2,9.6–15.9,750–2000,0,–
Atractus,ronnie,105–342,15–17,S,129–163,E,16–25,2,8.0–13.0,500–900,0,1–7
Atractus,roulei,130–471,15,S,135–159,E,14–28,2,8.3–13.5,1200–3030,0,–
Atractus,sanctaemartae,308–710,17,S,142–171,E,19–37,2,8.5–15.0,30–2500,0,–
Atractus,sanguineus,424,17,S,174–181,E,29–51,2,13.7,1455–2350,0,–
Atractus,savagei,340–377,17,S,149–165,E,26–28,2,10.1–14.2,2070–2420,0,–
Atractus,schach,150–421,17,S,133–151,E,19–32,2,9.1–11.9,20–1355,0,3–9
Atractus,serranus,556–855,17,S,141–163,E,14–31,2,7.6–11.7,700–1000,0,–
Atractus,snethlageae,212–718,17,S,137–180,E,19–49,2,6.9–17.6,10–1800,0,3–9
Atractus,spinalis,125–308,15,S,136–149,E,24–33,2,10.4–14.3,1355–1430,0,–
Atractus,steyermarki,270–420,17,S,160–183,E,27–44,2,11.2–16.7,500–2600,0,–
Atractus,stygius,306–428,15,S,170–192,E,20–28,2,8.9–11.8,220–500,0,–
Atractus,surucucu,397–418,17,S,200–207,E,25–26,2,7.2–12.8,1000,0,–
Atractus,taeniatus,149–450,15,S,141–165,E,21–33,2,8.0–13.0,370–425,0,–
Atractus,tamessari,368–430,15,S,149–163,E,24–37,2,9.8–10.2,430–2200,0,–
Atractus,taphorni,350–423,15,S,150–160,E,17–29,2,10.0–11.2,1500–2500,0,–
Atractus,tartarus,372–641,15,S,146–169,E,23–38,2,11.1–15.3,15–400,0,–
Atractus,thalesdelemai,129–419,17,S,149–169,E,22–30,2,6.5–12.5,100–720,0,–
Atractus,titanicus,473–857,17,S,151–162,E,18–34,2,7.2–12.1,980–2655,0,–
Atractus,torquatus,430–754,17,S,144–172,E,34–53,2,12.1–20.3,0–600,0,3–8
Atractus,touzeti,1030–1153,17,S,167–170,E,31,2,9.5–11.4,1355–2200,0,–
Atractus,trefauti,266–334,17,S,139–158,E,21–29,2,7.7–11.7,40–350,0,–
